Date,CrudeOil,SP500
2015-11-12,41.75,2045.969971
2015-11-13,40.740002,2023.040039
2015-11-16,41.740002,2053.189941
2015-11-17,40.669998,2050.439941
2015-11-18,40.75,2083.580078
2015-11-19,40.540001,2081.23999
2015-11-20,40.389999,2089.169922
2015-11-23,41.75,2086.590088
2015-11-24,42.869999,2089.139893
2015-11-25,43.040001,2088.870117
2015-11-27,41.709999,2090.110107
2015-11-30,41.650002,2080.409912
2015-12-01,41.849998,2102.629883
2015-12-02,39.939999,2079.51001
2015-12-03,41.080002,2049.620117
2015-12-04,39.970001,2091.689941
2015-12-07,37.650002,2077.070068
2015-12-08,37.509998,2063.590088
2015-12-09,37.16,2047.619995
2015-12-10,36.759998,2052.22998
2015-12-11,35.619999,2012.369995
2015-12-14,36.310001,2021.939941
2015-12-15,37.349998,2043.410034
2015-12-16,35.52,2073.070068
2015-12-17,34.950001,2041.890015
2015-12-18,34.73,2005.550049
2015-12-21,34.740002,2021.150024
2015-12-22,36.139999,2038.969971
2015-12-23,37.5,2064.290039
2015-12-24,38.099998,2060.98999
2015-12-28,36.810001,2056.5
2015-12-29,37.869999,2078.360107
2015-12-30,36.599998,2063.360107
2015-12-31,37.040001,2043.939941
2016-01-04,36.759998,2012.660034
2016-01-05,35.970001,2016.709961
2016-01-06,33.970001,1990.26001
2016-01-07,33.27,1943.089966
2016-01-08,33.16,1922.030029
2016-01-11,31.41,1923.670044
2016-01-12,30.440001,1938.680054
2016-01-13,30.48,1890.280029
2016-01-14,31.200001,1921.839966
2016-01-15,29.42,1880.329956
2016-01-19,28.459999,1881.329956
2016-01-20,26.549999,1859.329956
2016-01-21,29.530001,1868.98999
2016-01-22,32.189999,1906.900024
2016-01-25,30.34,1877.079956
2016-01-26,31.450001,1903.630005
2016-01-27,32.299999,1882.949951
2016-01-28,33.220001,1893.359985
2016-01-29,33.619999,1940.23999
2016-02-01,31.620001,1939.380005
2016-02-02,29.879999,1903.030029
2016-02-03,32.279999,1912.530029
2016-02-04,31.719999,1915.449951
2016-02-05,30.889999,1880.050049
2016-02-08,29.690001,1853.439941
2016-02-09,27.940001,1852.209961
2016-02-10,27.450001,1851.859985
2016-02-11,26.209999,1829.079956
2016-02-12,29.440001,1864.780029
2016-02-16,29.040001,1895.579956
2016-02-17,30.66,1926.819946
2016-02-18,30.77,1917.829956
2016-02-19,29.639999,1917.780029
2016-02-22,31.48,1945.5
2016-02-23,31.870001,1921.27002
2016-02-24,32.150002,1929.800049
2016-02-25,33.07,1951.699951
2016-02-26,32.779999,1948.050049
2016-02-29,33.75,1932.22998
2016-03-01,34.400002,1978.349976
2016-03-02,34.66,1986.449951
2016-03-03,34.57,1993.400024
2016-03-04,35.919998,1999.98999
2016-03-07,37.900002,2001.76001
2016-03-08,36.5,1979.26001
2016-03-09,38.290001,1989.26001
2016-03-10,37.84,1989.569946
2016-03-11,38.5,2022.189941
2016-03-14,37.18,2019.640015
2016-03-15,36.34,2015.930054
2016-03-16,38.459999,2027.219971
2016-03-17,40.200001,2040.589966
2016-03-18,39.439999,2049.580078
2016-03-21,39.91,2051.600098
2016-03-22,41.450001,2049.800049
2016-03-23,39.790001,2036.709961
2016-03-24,39.459999,2035.939941
2016-03-28,39.389999,2037.050049
2016-03-29,38.279999,2055.01001
2016-03-30,38.32,2063.949951
2016-03-31,38.34,2059.73999
2016-04-01,36.790001,2072.780029
2016-04-04,35.700001,2066.129883
2016-04-05,35.889999,2045.170044
2016-04-06,37.75,2066.659912
2016-04-07,37.259998,2041.910034
2016-04-08,39.720001,2047.599976
2016-04-11,40.360001,2041.98999
2016-04-12,42.169998,2061.719971
2016-04-13,41.759998,2082.419922
